sample.id,value,epitope.id,paper.name
BK00972EB01,0.457992725,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00575EB01,0.889875159,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.603701947,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.178063919,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.946927652,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.437275718,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.700916154,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.576452904,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.709398236,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00575EB01,0.95306358,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.572870295,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00278EB02,0.474534423,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.709103877,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.585032715,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00860EB02,0.84626376699999994,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.992589003,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00860EB02,-0.311858398,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.629770889,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.575644599,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00972EB01,0.668428402,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00984EB02,0.072021321,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00860EB02,0.982796455,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00860EB02,0.923353691,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.74930149,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00289EB02,0.559747156,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00289EB02,-0.07651104,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00289EB02,0.906225091,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.103378256,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01435KE01_SPB_A02,0.314611836,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.595940948,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00860EB02,0.790328545,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,-0.447917886,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.26737305,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01435KE01_SPB_A02,0.230117268,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00289EB02,0.542914631,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00985EB01,0.727795628,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.569448212,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.344108299,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.722347861,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.824087004,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00289EB02,0.042269019,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.222078677,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.545773015,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00985EB01,0.029589221,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00971EB02,0.894304045,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00267EB02,0.647810789,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00267EB02,0.295819854,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.204776742,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.954635673,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00985EB01,0.65483205,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00267EB02,0.92165569,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00267EB02,0.296094651,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.101078216,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.731118798,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00147EB02,0.509468526,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00267EB02,0.152092181,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.488399511,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.067630985,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.306740714,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00597EB01,0.449263168,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00597EB01,0.481061657,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.583558805,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.775796143,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.802424332,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.397293109,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00862EB02,0.625307263,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00975EB02,0.853204553,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00147EB02,0.28989781,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.854173465,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.371308338,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00862EB02,0.414204524,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.107230802,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.389789329,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.882296627,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.015902368,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.628696685,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.192692959,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.521057772,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.742570389,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.510863671,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.454513667,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.116952347,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00862EB02,0.312513877,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.541932335,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.834605935,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01771EB02,0.576077424,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.528834482,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.933083347,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00974EB02,0.692368108,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00564EB02,0.107900765,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00564EB02,0.416295276,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,0.702431247,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK001772EB02,1.010485428,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00865EB02,1.032185298,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.933323514,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.351106259,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.846889681,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00852EB02,0.966991702,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01447KE01_SPB_A01,0.719428477,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.747413429,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00564EB02,0.787373345,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00852EB02,-0.267430132,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.037649486,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00852EB02,0.46026905,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01802EB01,0.393792125,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.282033525,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00852EB02,0.678656657,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.905090514,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.641536378,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK01214EB01,0.334116855,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00852EB02,0.449474776,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00874EB02,0.710645783,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.617074709,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00973EB02,0.13897858,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
